ipc_class_symbol;nb
"G01N  21/35";39
"G01N  21/85";26
"F02D  41/24";22
"G01J   3/10";21
"F02D  41/00";19
"G01N  33/28";19
"G01N  21/31";14
"G01J   3/12";14
"G01N  21/27";13
"G01J   3/02";12
"G01J   3/28";11
"G01N  21/3577";11
"F02D  41/22";10
"G01N  21/359";10
"F02D  19/06";10
"G01N  21/33";9
"G01N  21/88";8
"G01M  15/10";8
"F02D  41/38";7
"F02D  13/02";6
"G01J   3/26";6
"G01N  21/25";5
"G01N  21/3504";5
"G01J   3/42";4
"F02P   5/15";4
"F02D  41/30";4
"F02D  19/08";4
"G01J   5/02";3
"F02P   5/152";3
"F02D  41/14";3
"G01N  33/22";3
"F02M  51/00";2
"G06F  19/00";2
"F02B  77/08";2
"F02D  43/00";2
"F02D  45/00";2
"F02D  28/00";2
"H01J  49/02";2
"G01M  15/08";1
"G01F  23/26";1
"F01N   9/00";1
"G01J   3/51";1
"H01L  33/00";1
"H01L  31/0203";1
"F02P   5/153";1
"G01J   3/36";1
"G02B   6/30";1
"F02M  25/07";1
"H01L  21/00";1
"H01L  31/02";1
"G02B   6/26";1
"B60K  28/10";1
"H01L  31/0232";1
"G01M  15/00";1
"G03F   7/20";1
"F02D  35/02";1
"G02B   6/32";1
"F02M  25/022";1
"G01J   1/00";1
"F02M  51/04";1
"G02B   6/42";1
"F02D  41/26";1
"F02B  47/08";1
