appln_id;techn_field_nr;weight
381150532;1;1.0
405962392;10;0.6666667
405962392;11;0.33333334
425016237;8;0.22222222
425016237;9;0.44444445
425016237;10;0.33333334
19130688;27;1.0
445532725;10;1.0
449672078;10;1.0
521183224;10;1.0
20934670;10;0.5
20934670;27;0.5
441409842;10;1.0
49366;11;0.33333334
49366;27;0.6666667
459204894;27;1.0
4989976;10;0.5
4989976;27;0.5
413979608;10;1.0
20939102;10;0.6666667
20939102;11;0.33333334
443000086;10;0.25
443000086;27;0.75
422225201;27;1.0
57222421;10;1.0
413979607;10;1.0
19119810;27;1.0
445741356;10;1.0
522253793;10;0.6666667
522253793;11;0.33333334
329598623;10;0.25
329598623;27;0.75
336389954;10;1.0
337591580;11;0.33333334
337591580;27;0.6666667
56626681;10;0.5
56626681;27;0.5
445140129;10;1.0
317304620;10;0.16666667
317304620;27;0.8333333
338112358;10;1.0
374982845;6;0.1
374982845;10;0.2
374982845;27;0.7
422767515;10;0.33333334
422767515;11;0.11111111
422767515;27;0.5555556
267010613;10;0.6666667
267010613;11;0.33333334
274178443;10;0.5
274178443;11;0.5
322434300;10;1.0
328952664;10;1.0
56224356;10;0.6666667
56224356;11;0.33333334
273550282;10;0.33333334
273550282;11;0.11111111
273550282;27;0.5555556
323543479;10;0.5
323543479;27;0.5
323791678;10;1.0
324055415;9;0.25
324055415;10;0.75
334022097;10;1.0
421508249;10;0.6666667
421508249;27;0.33333334
55834363;10;0.5
55834363;27;0.5
55506769;10;0.33333334
55506769;11;0.11111111
55506769;27;0.5555556
381150530;1;1.0
273387206;10;0.2
273387206;27;0.8
275468778;10;0.33333334
275468778;27;0.6666667
409514;11;0.5
409514;27;0.5
492306350;10;1.0
492306418;10;1.0
320783003;10;0.75
320783003;27;0.25
329338958;10;0.85714287
329338958;27;0.14285715
336714695;10;1.0
364517523;8;0.42857143
364517523;10;0.5714286
437878299;27;1.0
438697577;10;1.0
19126658;10;0.5
19126658;11;0.5
315619972;10;1.0
56840859;10;1.0
57047495;10;1.0
57048946;10;1.0
274330538;10;0.6666667
274330538;11;0.33333334
294860684;11;0.25
294860684;27;0.75
19125835;27;1.0
19126657;10;1.0
55179915;10;0.3
55179915;11;0.1
55179915;27;0.6
506163491;10;0.75
506163491;27;0.25
329935468;10;0.25
329935468;27;0.75
337194142;10;1.0
414070036;10;1.0
67829;10;0.25
67829;11;0.25
67829;27;0.5
55754280;10;1.0
41115924;10;0.5
41115924;27;0.5
16335182;27;1.0
57682409;10;0.6666667
57682409;11;0.33333334
266971176;10;0.25
266971176;27;0.75
412504608;10;0.6666667
412504608;11;0.33333334
436905429;10;0.22222222
436905429;11;0.11111111
436905429;24;0.11111111
436905429;27;0.5555556
438697575;10;1.0
445140131;10;1.0
447002586;10;1.0
55758786;10;1.0
418302458;10;0.5
418302458;27;0.5
57047141;10;1.0
2744929;10;0.5
2744929;27;0.5
323709042;10;1.0
333001142;10;0.25
333001142;27;0.75
333161596;10;0.4
333161596;27;0.6
341088988;27;1.0
19110797;10;0.5
19110797;32;0.5
53978864;6;0.2
53978864;10;0.4
53978864;27;0.4
333696131;10;1.0
334107759;10;0.25
334107759;27;0.75
8636522;10;0.5
8636522;27;0.5
416918717;10;1.0
275342726;10;0.33333334
275342726;11;0.11111111
275342726;27;0.5555556
414070038;10;1.0
19126659;10;0.6666667
19126659;11;0.33333334
