appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
19119810;"FR";"0655506";"A ";2006-12-14;2006;"FR20060055506";"0655506";"PI";"  ";0;"N";"N";"Y";2006-12-14;2006;19119810;2008-06-20;2008;277662206;"Y";37890311;49366;6;7;1;4
445741356;"KR";"20157017680";"A ";2013-12-04;2013;"KR20157017680";"1020157017680";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2015-10-12;2015;445741357;"N";49886962;381150530;16;2;1;2
57222421;"EP";"08845379";"A ";2008-08-14;2008;"EP20080845379";"08845379";"PI";"  ";56626681;"Y";"Y";"N";2007-08-31;2007;19125835;2010-05-12;2010;320935526;"Y";39186988;19125835;12;13;1;2
413979607;"WO";"2013052940";"W ";2013-12-04;2013;"WO2013FR52940";"FR2013/052940";"PI";"FR";0;"Y";"N";"N";2012-12-07;2012;381150530;2014-06-12;2014;418885617;"N";49886962;381150530;16;2;1;2
422225201;"JP";"2014087423";"A ";2014-04-21;2014;"JP20140087423";"2014087423";"PI";"  ";0;"N";"N";"Y";2006-12-14;2006;19119810;2014-08-28;2014;421493435;"N";37890311;49366;6;7;1;4
336389954;"GB";"201110555";"A ";2011-06-22;2011;"GB20110010555";"GB1110555";"PI";"  ";0;"N";"N";"Y";2011-06-22;2011;336389954;2011-08-03;2011;390536944;"N";44454459;336389954;2;1;2;2
337591580;"RU";"2009144390";"A ";2008-05-07;2008;"RU20090144390";"2009144390/06";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2011-06-20;2011;341744159;"Y";38820234;19130688;12;10;1;2
445140129;"CN";"201380072189";"A ";2013-12-04;2013;"CN20138072189";"2013800721899";"PI";"  ";413979608;"Y";"N";"Y";2012-12-07;2012;381150530;2015-10-07;2015;445140130;"Y";49886962;381150530;16;2;1;2
56626681;"WO";"2008001194";"W ";2008-08-14;2008;"WO2008FR01194";"FR2008/001194";"PI";"FR";0;"Y";"N";"N";2007-08-31;2007;19125835;2009-05-07;2009;57348083;"N";39186988;19125835;12;13;3;2
522253793;"PL";"07823392";"T ";2007-08-02;2007;"PL20070823392T";"";"PI";"  ";20939102;"Y";"Y";"Y";2006-08-21;2006;19110797;2014-01-31;2014;522253794;"Y";37663186;19110797;12;15;1;2
329598623;"AU";"2009247943";"A ";2009-04-21;2009;"AU20090247943";"2009247943";"PI";"  ";266971176;"Y";"N";"Y";2008-04-24;2008;67829;2009-11-19;2009;329902078;"Y";40120085;67829;13;13;1;2
317304620;"US";"59857908";"A ";2008-05-07;2008;"US20080598579";"12598579";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2010-07-01;2010;317503927;"Y";38820234;19130688;12;10;3;2
267010613;"CN";"200780034714";"A ";2007-08-02;2007;"CN20078034714";"A2007800347142";"PI";"  ";20939102;"Y";"N";"Y";2006-08-21;2006;19110797;2009-08-26;2009;278806190;"Y";37663186;19110797;12;15;1;2
274178443;"US";"43828707";"A ";2007-08-02;2007;"US20070438287";"12438287";"PI";"  ";20939102;"Y";"N";"Y";2006-08-21;2006;19110797;2010-01-14;2010;274188431;"Y";37663186;19110797;12;15;3;2
338112358;"RU";"2010106265";"A ";2008-08-14;2008;"RU20100106265";"2010106265/28";"PI";"  ";56626681;"Y";"N";"Y";2007-08-31;2007;19125835;2011-10-10;2011;365128635;"Y";39186988;19125835;12;13;1;2
374982845;"US";"98930809";"A ";2009-04-21;2009;"US20090989308";"12989308";"PI";"  ";266971176;"Y";"N";"Y";2008-04-24;2008;67829;2012-09-06;2012;375077880;"Y";40120085;67829;13;13;3;2
422767515;"BR";"PI0809735";"A ";2008-05-07;2008;"BR2008PI09735";"PI 0809735-6 A2";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2014-10-14;2014;422767516;"N";38820234;19130688;12;10;1;2
19126658;"FR";"0707153";"A ";2007-10-12;2007;"FR20070007153";"0707153";"PI";"  ";0;"N";"N";"Y";2007-10-12;2007;19126658;2009-04-17;2009;57236893;"Y";39267811;19126658;5;4;1;3
438697577;"BR";"PI0818064";"A ";2008-09-30;2008;"BR2008PI18064";"PI0818064-4";"PI";"  ";56840859;"Y";"N";"Y";2007-10-12;2007;19126657;2015-03-31;2015;438697578;"N";39264511;19126657;7;2;1;3
336714695;"ES";"08845379";"T ";2008-08-14;2008;"ES20080845379T";"08845379";"PI";"  ";0;"N";"Y";"Y";2007-08-31;2007;19125835;2011-09-19;2011;388582836;"Y";39186988;19125835;12;13;1;0
437878299;"MY";"PI20094641";"A ";2008-05-07;2008;"MY2009PI04641";"PI 20094641";"PI";"  ";0;"N";"N";"Y";2007-05-07;2007;19130688;2014-07-14;2014;437878300;"Y";38820234;19130688;12;10;1;2
364517523;"WO";"2012062158";"W ";2012-06-22;2012;"WO2012EP62158";"EP2012/062158";"PI";"EP";0;"Y";"N";"N";2011-06-22;2011;336389954;2012-12-27;2012;379467148;"N";44454459;336389954;2;1;4;2
320783003;"CN";"200880105066";"A ";2008-08-14;2008;"CN200880105066";"200880105066X";"PI";"  ";56626681;"Y";"N";"Y";2007-08-31;2007;19125835;2010-08-04;2010;323870764;"Y";39186988;19125835;12;13;1;2
329338958;"US";"67524708";"A ";2008-08-14;2008;"US20080675247";"12675247";"PI";"  ";56626681;"Y";"N";"Y";2007-08-31;2007;19125835;2010-12-02;2010;329455295;"Y";39186988;19125835;12;13;3;2
275468778;"CA";"2685821";"A ";2008-05-07;2008;"CA20082685821";"2685821";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2008-12-18;2008;277512277;"Y";38820234;19130688;12;10;1;2
273387206;"EP";"09745904";"A ";2009-04-21;2009;"EP20090745904";"09745904";"PI";"  ";266971176;"Y";"Y";"N";2008-04-24;2008;67829;2011-06-01;2011;334436670;"Y";40120085;67829;13;13;1;2
492306350;"BR";"112015013222";"A ";2013-12-04;2013;"BR20151113222";"112015013222";"PI";"  ";413979608;"Y";"N";"Y";2012-12-07;2012;381150530;2017-07-11;2017;490726376;"N";49886962;381150530;16;2;1;2
492306418;"BR";"112015013313";"A ";2013-12-04;2013;"BR20151113313";"112015013313";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2017-07-11;2017;490726377;"N";49886962;381150530;16;2;1;2
55506769;"EP";"08805550";"A ";2008-05-07;2008;"EP20080805550";"08805550";"PI";"  ";55179915;"Y";"Y";"N";2007-05-07;2007;19130688;2010-01-13;2010;317694924;"N";38820234;19130688;12;10;1;2
381150530;"FR";"1261757";"A ";2012-12-07;2012;"FR20120061757";"1261757";"PI";"  ";0;"N";"N";"Y";2012-12-07;2012;381150530;2014-06-13;2014;418611368;"N";47714355;381150530;1;0;1;2
409514;"EP";"07871848";"A ";2007-12-12;2007;"EP20070871848";"07871848";"PI";"  ";49366;"Y";"Y";"N";2006-12-14;2006;19119810;2009-09-16;2009;277662208;"N";37890311;49366;6;7;1;4
67829;"FR";"0802314";"A ";2008-04-24;2008;"FR20080002314";"0802314";"PI";"  ";0;"N";"N";"Y";2008-04-24;2008;67829;2009-10-30;2009;273091122;"Y";40120085;67829;13;13;1;2
337194142;"ES";"08807192";"T ";2008-09-26;2008;"ES20080807192T";"08807192";"PI";"  ";0;"N";"Y";"Y";2007-10-12;2007;19126659;2011-10-07;2011;388583535;"Y";39267773;19126659;12;27;1;3
506163491;"BR";"PI0815281";"A ";2008-08-14;2008;"BR2008PI15281";"PI0815281";"PI";"  ";56626681;"Y";"N";"Y";2007-08-31;2007;19125835;2018-12-26;2018;506163492;"N";39186988;19125835;12;13;1;2
55754280;"WO";"2008002600";"W ";2008-09-30;2008;"WO2008IB02600";"IB2008/002600";"PI";"IB";0;"Y";"N";"N";2007-10-12;2007;19126658;2009-04-16;2009;57162224;"N";39267811;19126658;5;4;4;3
414070036;"EP";"13815047";"A ";2013-12-04;2013;"EP20130815047";"13815047";"PI";"  ";413979607;"Y";"Y";"N";2012-12-07;2012;381150530;2015-10-14;2015;444430390;"Y";49886962;381150530;16;2;1;2
55179915;"WO";"2008000645";"W ";2008-05-07;2008;"WO2008FR00645";"FR2008/000645";"PI";"FR";0;"Y";"N";"N";2007-05-07;2007;19130688;2008-12-18;2008;55563080;"N";38820234;19130688;12;10;3;2
